mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_depth,param_classifier__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.48243122100830077,0.010259109933375938,0.056258201599121094,0.006683149925728813,100,10,4,,balanced,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_depth': None, 'classifier__class_weight': 'balanced'}",0.671875,0.6638297872340425,0.628099173553719,0.6008230452674898,0.694980694980695,0.6519215402071893,0.03338442467031435,6,0.8986046511627906,0.9133574007220217,0.8840182648401826,0.9031639501438159,0.9055555555555556,0.9009399644848732,0.00971843735406068
0.4815173625946045,0.02305108791383269,0.053439998626708986,0.00801840359069424,100,10,1,,balanced,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': None, 'classifier__class_weight': 'balanced'}",0.6978723404255319,0.7534883720930232,0.6814159292035398,0.6108786610878661,0.704,0.6895310605619922,0.04609017282784352,1,0.9482758620689655,0.9503676470588235,0.9521988527724665,0.9416342412451362,0.9401709401709402,0.9465295086632665,0.004781580398909547
1.7568936347961426,0.028855799226871932,0.10005102157592774,0.008711096927163074,300,10,2,20,balanced_subsample,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 20, 'classifier__class_weight': 'balanced_subsample'}",0.7213114754098361,0.7085201793721974,0.6609442060085837,0.6,0.696,0.6773551721581235,0.043598592511771006,3,0.937381404174573,0.941712204007286,0.9367327667610954,0.936046511627907,0.9348441926345609,0.9373434158410845,0.002340458187094931
0.938143253326416,0.01691991422671519,0.0769881248474121,0.0038764071411095825,200,10,2,20,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 20, 'classifier__class_weight': None}",0.5759162303664922,0.5853658536585366,0.5591397849462365,0.38461538461538464,0.5595854922279793,0.5329245491629259,0.07482249371812287,12,0.8236658932714617,0.8164627363737486,0.812428078250863,0.7932285368802902,0.8079161816065192,0.8107402852765766,0.010171561602380278
0.9162399291992187,0.019131689952881614,0.07602963447570801,0.005681816115091967,200,5,4,20,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 4, 'classifier__max_depth': 20, 'classifier__class_weight': None}",0.5376344086021505,0.5818181818181818,0.49162011173184356,0.39344262295081966,0.5161290322580645,0.5041288714722121,0.06278561698552639,13,0.7585365853658537,0.730723606168446,0.7473053892215569,0.7389659520807061,0.7222914072229141,0.7395645880118954,0.012623317998602763
0.9630896568298339,0.016005400870925373,0.08440780639648438,0.005687893539479952,200,5,2,,,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': None, 'classifier__class_weight': None}",0.6091370558375635,0.6198830409356725,0.5925925925925926,0.48205128205128206,0.6192893401015228,0.5845906623037267,0.05221193552596414,9,0.9289501590668081,0.9364278506559032,0.9288702928870293,0.9287257019438445,0.9296956977964324,0.9305339404700035,0.002966029043693833
1.3196903705596923,0.013116785050100102,0.09717268943786621,0.005182347600208293,300,10,4,10,,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_depth': 10, 'classifier__class_weight': None}",0.5027322404371585,0.5222929936305732,0.4327485380116959,0.3756906077348066,0.4945054945054945,0.4655939748639457,0.054021002600915184,15,0.6579634464751958,0.654228855721393,0.6502590673575129,0.6929133858267716,0.6385224274406333,0.6587774365643013,0.018272619999018313
0.5983543395996094,0.013564937946688947,0.0485044002532959,0.001489021840940843,100,10,2,20,balanced_subsample,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': 20, 'classifier__class_weight': 'balanced_subsample'}",0.7112970711297071,0.7149321266968326,0.6351931330472103,0.6050420168067226,0.696,0.6724928695360946,0.04427263188106094,5,0.9383886255924171,0.9410681399631676,0.9287054409005628,0.9377431906614786,0.9368520263901979,0.9365514847015648,0.004167640894648863
0.493532657623291,0.015132843424006328,0.04919137954711914,0.004833134146179127,100,2,2,,balanced,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_depth': None, 'classifier__class_weight': 'balanced'}",0.6851851851851852,0.7373737373737373,0.647887323943662,0.5919282511210763,0.7327586206896551,0.6790266236626632,0.054562301178251685,2,0.9940828402366864,0.984037558685446,0.9816069699903195,0.9879759519038076,0.9883268482490273,0.9872060338130574,0.004255072638153014
1.7467628002166748,0.020790882147507635,0.0986626148223877,0.007902459360602505,300,5,1,10,balanced_subsample,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 1, 'classifier__max_depth': 10, 'classifier__class_weight': 'balanced_subsample'}",0.70995670995671,0.7136150234741784,0.6842105263157895,0.5676855895196506,0.7112970711297071,0.6773529840792072,0.05586430488760719,4,0.9494163424124513,0.950328022492971,0.9371980676328503,0.9409448818897638,0.9428848015488868,0.9441544231953847,0.005022053352250239
